Site,Partner Site Country,Primary Disease Area,Tissue of origin (free text),Disease/indication (free text),Type,Model Organism,Biological System,Co-culture?,Model and modification details (free text),Cell line name(s) (free text),Plate density,Assay Design (1),Assay Design (2),if 3D: assay type,Assay readout,Assay readout (2),Assay readout (3),Additional assay information (free text),Data Points,Screening Mode,Measurement Type,"Additional Details (timepoint, points DRC) 
(free text)",Publication Details (doi only),Available to the User,Comments regarding the availability
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Flow cytometry,Luminescence,,"Flow cytometry, Cell Titer Glo",,Dose Response,,,10.1002/hem3.70282,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1158/0008-5472.CAN-24-3840,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,96-well,Suspension,,,Flow cytometry,,,Flow cytometry,,Dose Response,,,10.1182/blood.2024024968,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,Flow cytometry,,"Flow cytometry, Cell Titer Glo",,Dose Response,,,10.1038/s41467-024-52980-5,,
UH-FIMM,FI,Cancer,Soft tissue,Angiosarcoma,Primary screening,Human,Engineered cell lines,No,,,384-well,2D,3D,,Luminescence,Microscopy,,"Cell Titer Glo, Imaging",,Dose Response,,,10.1016/j.biopha.2024.116397,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41596-023-00903-x,,
UH-FIMM,FI,Cancer,Kidney,Papillary renal cell carcinoma,Primary screening,Human,Engineered cell lines,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1016/j.euf.2023.03.005,,
UH-FIMM,FI,Cancer,Kidney,Renal cell carcinoma,Primary screening,Human,Primary cells,No,,,384-well,2D,3D,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1016/j.slasd.2022.11.003,,
UH-FIMM,FI,Cancer,Ovary,High-grade serous ovarian cancer,Primary screening,Human,Primary cells,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41416-022-02067-z,,
UH-FIMM,FI,Cancer,Multiple,Pediatric cancers,Primary screening,Human,Primary cells,No,,,384-well,3D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41698-022-00335-y,,
FMP,DE,,,,Cell phenotyping,Human,Engineered cell lines,No,Cas9 expressing cell lines,,96-well,2D,2D,,Microscopy,other,,Optical Pooled Screening with nuclear in-situ sequencing,,Single Point,,livel cell or fixed cell,10.1038/s41587-024-02516-5,,method is in setup
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,B-cell Acute Lymphoblastic Leukemia,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1097/HS9.0000000000000701,,
UH-FIMM,FI,Cancer,Skin,Melanoma,Primary screening,Human,Primary cells,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1016/j.tranon.2021.101290,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41698-021-00209-9,,
UH-FIMM,FI,Cancer,Lung,Non-small-cell lung cancer,Primary screening,Human,Primary cells,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1016/j.xcrm.2021.100373,,
UH-FIMM,FI,Cancer,Head and neck,Head and neck squamous cell carcinoma,Primary screening,Human,Engineered cell lines,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41598-021-94259-5; 10.3390/cancers12010092,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1126/sciadv.abe4038,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Chronic myeloid leukemia,Primary screening,Human,Primary cells,No,,,384-well,Suspension,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1038/s41375-020-01082-4,,
UH-FIMM,FI,Cancer, Sympathetic nervous system,Neuroblastoma,Primary screening,Human,Primary cells,No,,,384-well,3D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1126/scitranslmed.aba4434,,
UH-FIMM,FI,Cancer,Multiple,Cancer,Primary screening,Human,Immortalized cell lines,No,,,384-well,2D,,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1074/jbc.RA119.011265,,
UH-FIMM,FI,Cancer,Ovary,High-grade serous ovarian cancer,Primary screening,Human,Primary cells,No,,,384-well,2D,3D,,Luminescence,,,Cell Titer Glo,,Dose Response,,,10.1002/path.5356,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UTU,FI,Neurological,Neurons/Mixed Cultures; primary cultures; cortical or hippocampal origin,"Rare diseases, Neurodegeneration, Synaptopathies",Primary screening,Rat,Primary cells,Yes,"Using genetically encoded reporters and actuators, allows longitudinal follow up, before/after response validation, analysis pipeline exists. Endpoint fix and immunofluorescence as an option", ,384-well,2D,,,Microscopy,Fluorescence,Absorbance,reporter and actuator panels available,1-5k,Combination,Kinetic ,"case dependent, usually dynamics/longitudinal",,Yes,
UTU,FI,Neurological,Neurons/Mixed Cultures; primary cultures; cortical or hippocampal origin,"Rare diseases, Neurodegeneration, Synaptopathies",Hit follow-up,Rat,Primary cells,Yes,"Using genetically encoded reporters and actuators, allows longitudinal follow up, before/after response validation, analysis pipeline exists. Endpoint fix and immunofluorescence as an option", ,384-well,2D,,,Microscopy, , ,reporter and actuator panels available,1-5k,Combination,Kinetic ,"case dependent, usually dynamics/longitudinal",,Yes,
UTU,FI,Neurological,Neurons/Mixed Cultures; primary cultures; cortical or hippocampal origin,"Rare diseases, Neurodegeneration, Synaptopathies",Disease profiling,Rat,Primary cells,Yes,"Using genetically encoded reporters and actuators, allows longitudinal follow up, before/after response validation, analysis pipeline exists. Endpoint fix and immunofluorescence as an option", ,384-well,2D,,,Microscopy, , ,reporter and actuator panels available,1-5k,Combination,Kinetic ,"case dependent, usually dynamics/longitudinal",,Yes,
UTU,FI,Neurological,Neurons/Mixed Cultures; primary cultures; cortical or hippocampal origin,"Rare diseases, Neurodegeneration, Synaptopathies",Toxicity/Safety models,Rat,Primary cells,Yes,"Using genetically encoded reporters and actuators, allows longitudinal follow up, before/after response validation, analysis pipeline exists. Endpoint fix and immunofluorescence as an option", ,384-well,2D,,,Microscopy,Fluorescence,Absorbance,reporter and actuator panels available,1-5k,Combination,Kinetic ,"case dependent, usually dynamics/longitudinal",,Yes,
UTU,FI,Neurological,Neurons/Mixed Cultures; primary cultures; cortical or hippocampal origin,"Rare diseases, Neurodegeneration, Synaptopathies",Mechanistic studies,Rat,Primary cells,Yes,"Using genetically encoded reporters and actuators, allows longitudinal follow up, before/after response validation, analysis pipeline exists. Endpoint fix and immunofluorescence as an option", ,384-well,2D,,,Microscopy, , ,reporter and actuator panels available,1-5k,Combination,Kinetic ,"case dependent, usually dynamics/longitudinal",,Yes,
